County,Organisation,Scheme,Amount Allocated
Carlow,Ben Mulhall Memorial Park Association,2000,"31,743.00"
Carlow,Carlow Boxing Club,2000,"1,270.00"
Carlow,Carlow Karate Club,2000,"3,809.00"
Carlow,Carlow Rowing Club,2000,"25,395.00"
Carlow,Clonmore GFC,2000,"10,158.00"
Carlow,Coolkenno Community Pitch Development,2000,"25,395.00"
Carlow,Cumann Iom na Baile Ceatharlach,2000,"38,092.00"
Carlow,Fighting Cocks GFC,2000,"8,888.00"
Carlow,Myshall GAA Club,2000,"63,487.00"
Carlow,O'Hanrahans GFC,2000,"8,888.00"
Carlow,Old Leighlin Community Support Ltd.,2000,"44,441.00"
Carlow,St Mullins GAA Club,2000,"12,697.00"
Carlow,St Patrick's Boys AFC,2000,"31,743.00"
Carlow,Tinryland GFC,2000,"63,487.00"
Cavan,Cavan Amateur Boxing Club,2000,"1,270.00"
Cavan,Denn GFC,2000,"19,046.00"
Cavan,Drumgoon Community Centre,2000,"44,441.00"
Cavan,Killygarry GAA,2000,"76,184.00"
Cavan,Kingscourt Boxing Club and Youth Centre,2000,"15,237.00"
Cavan,Kingscourt Community Centre Sports Club,2000,"76,184.00"
Cavan,Kingscourt Stars GAA,2000,"31,743.00"
Cavan,Knockbride G F C,2000,"12,697.00"
Cavan,Lacken Celtic GFC,2000,"25,395.00"
Cavan,Lavey GAA Club,2000,"25,395.00"
Cavan,Leisure & Sports Complex (Ballinagh) Trust Ltd,2000,"31,743.00"
Cavan,Mullahoran GFC,2000,"63,487.00"
Cavan,Ramor United GFc & Ramor Community Sports Park,2000,"25,395.00"
Cavan,Templeport Resource Centre Dev Co Ltd,2000,"3,809.00"
Clare,Bodyke GAA Club,2000,"19,046.00"
Clare,Clare District Soccer League,2000,"38,092.00"
Clare,Clare Scout Development Committee,2000,"12,697.00"
Clare,Clooney Quinn GAA Club,2000,"12,697.00"
Clare,Cooraclare GAA Club,2000,"31,743.00"
Clare,CORBALLY UNITED,2000,"25,395.00"
Clare,Corofin GAA Club,2000,"38,092.00"
Clare,Cree Community Centre Committee,2000,"6,349.00"
Clare,Crusheen G.A.A. Club,2000,"25,395.00"
Clare,Doonbeg Hall Management Committee,2000,"63,487.00"
Clare,Eire Og Inis,2000,"38,092.00"
Clare,Ennistymon Parish Project Community Centre Ltd,2000,"12,697.00"
Clare,Kilfenora Heritage and Sports Association Ltd,2000,"10,158.00"
Clare,Kilmihil GAA Club,2000,"19,046.00"
Clare,Kilrush Shamrock GAA Club,2000,"19,046.00"
Clare,Lees Road - Drumcliffe Sports Project Committee,2000,"634,869.00"
Clare,Mike McTigue Community Centre Ltd Ennis,2000,"12,697.00"
Clare,Newtown FC Limited,2000,"25,395.00"
Clare,O'Curry GAA Club,2000,"12,697.00"
Clare,Parteen Pitch and Putt Club,2000,"8,888.00"
Clare,St Kierans Community Centre Committee Kilrush,2000,"12,697.00"
Clare,St Michaels Community Centre Committee Kilmihil,2000,"12,697.00"
Clare,Tubber Gaa,2000,"25,395.00"
Clare,West Clare Boxing Club,2000,"2,539.00"
Clare,Wolfe Tones na Sionna,2000,"50,790.00"
Cork,5th Cork Lough Unit Scouting Ireland C.S.I.,2000,"3,809.00"
Cork,Adrigole GAA Club,2000,"19,046.00"
Cork,Aghabullogue GAA,2000,"44,441.00"
Cork,Ballinhassig Soccer Club,2000,"63,487.00"
Cork,Ballyhooly Community Sportsfield Ltd,2000,"19,046.00"
Cork,Banteer Community Sportsfield Ltd,2000,"31,743.00"
Cork,Bantry Gunners Football Club,2000,"63,487.00"
Cork,Bishopstown GAA Club,2000,"253,948.00"
Cork,Bishopstown Lawn Tennis Club,2000,"12,697.00"
Cork,Blackrock National Hurling Club,2000,"634,869.00"
Cork,Blackwater Sub Aqua Search & Rescue Club,2000,"6,349.00"
Cork,Blarney Community Centre/Scoil Mhuire gan Smal,2000,"95,230.00"
Cork,Blarney Hurling and Football Club,2000,"25,395.00"
Cork,Brian Dillons Hurling and Football Club,2000,"63,487.00"
Cork,Carraig na Bhfear Community Council,2000,"12,697.00"
Cork,Carrigtwohill Community Council Limited,2000,"38,092.00"
Cork,Castlelyons GAA Club,2000,"11,428.00"
Cork,Charleville AFC,2000,"38,092.00"
Cork,Churchtown GAA,2000,"101,579.00"
Cork,Coachford AFC,2000,"25,395.00"
Cork,Cobh Wanderers AFC,2000,"38,092.00"
Cork,Col iste Mhuire School and Sports Club,2000,"126,974.00"
Cork,Community and Renewal Enterprises,2000,"63,487.00"
Cork,Cork Constitution FC,2000,"126,974.00"
Cork,Cork Corporation (The Ridge Project),2000,"126,974.00"
Cork,Crosshaven AFC,2000,"19,046.00"
Cork,Crosshaven Youth and Sports Club,2000,"25,395.00"
Cork,Cumann Luth-Chleas Geal Airlinn,2000,"19,046.00"
Cork,Donoughmore Hurling & Football Club,2000,"25,395.00"
Cork,Douglas Hurling & Football Club,2000,"158,717.00"
Cork,Drinagh Rangers FC,2000,"15,237.00"
Cork,Dromahane Tennis Club,2000,"25,395.00"
Cork,Dromtarriffe GAA Club,2000,"63,487.00"
Cork,Dunlop Pitch and Putt Club Blackrock,2000,"25,395.00"
Cork,ESB Pitch and Putt Club,2000,"15,237.00"
Cork,Everton Football Club,2000,"31,743.00"
Cork,Fermoy Boys + Girls Boxing Club,2000,"3,174.00"
Cork,Fermoy Community Sports Project,2000,"25,395.00"
Cork,Glanmire GAA Club,2000,"63,487.00"
Cork,Glenans Irish Sailing Club,2000,"31,743.00"
Cork,Glenlara GAA Club,2000,"25,395.00"
Cork,GRATTAN UNITED A.F.C,2000,"38,092.00"
Cork,Hazelwood Tennis Club,2000,"8,888.00"
Cork,I.I.C.Y.M.A. t/a Garryduff Sports Centre,2000,"50,790.00"
Cork,Inniscarra Hurling & Football GAA Club,2000,"50,790.00"
Cork,Inniscarra Pitch and Putt Club,2000,"25,395.00"
Cork,Irish Girl Guides South West Region Carrigrohane,2000,"12,697.00"
Cork,Kanturk RFC,2000,"12,697.00"
Cork,Kilcorney Community Council,2000,"8,888.00"
Cork,Kilworth Sports Complex,2000,"25,395.00"
Cork,Kiskeam GAA Club,2000,"12,697.00"
Cork,Leeds AFC,2000,"63,487.00"
Cork,Lough Rovers Hurling and Football Club,2000,"76,184.00"
Cork,Lyre Rovers Soccer Club,2000,"44,441.00"
Cork,Meelin GAA Club,2000,"25,395.00"
Cork,MFA Football Ltd,2000,"126,974.00"
Cork,Naomh Muire C.L.G. (St. Mary's GAA),2000,"31,743.00"
Cork,Newmarket GAA Club,2000,"44,441.00"
Cork,Nufarm Ath Schoolboys Football Club,2000,"9,523.00"
Cork,O'Donovan Rossa GAA Club,2000,"57,138.00"
Cork,Redmonds Hurling and Fooball Club,2000,"25,395.00"
Cork,Riverstown Area Community Association Ltd,2000,"126,974.00"
Cork,Rylane Boxing Club,2000,"3,174.00"
Cork,Skibbereen Sports Centre,2000,"25,395.00"
Cork,St Finbarrs Hurling & Football Club,2000,"126,974.00"
Cork,St Finbarr's Pipe Band,2000,"6,349.00"
Cork,Urhan GAA Eyeries Community Field Development,2000,"31,743.00"
Cork,Wilton United AFC,2000,"44,441.00"
Cork,Youghal Lawn Tennis Club Ltd,2000,"38,092.00"
Cork,Youghal RFC,2000,"12,697.00"
Cork,Youghal United AFC,2000,"63,487.00"
Donegal,Aughnish Road Residents Group Ramelton,2000,"50,790.00"
Donegal,Buncrana Leisure Centre,2000,"114,276.00"
Donegal,Castlefin Celtic,2000,"38,092.00"
Donegal,CLG Na Dunaibh,2000,"76,184.00"
Donegal,CLG Naomh Naílle,2000,"50,790.00"
Donegal,Cockhill Celtic YFC,2000,"50,790.00"
Donegal,coiste chontae dhun na ngall clg,2000,"190,461.00"
Donegal,Creevy & District Co-op Dev Soc Ltd,2000,"25,395.00"
Donegal,Culdaff Sports Committee,2000,"50,790.00"
Donegal,Cumann Naomh Padraig,2000,"101,579.00"
Donegal,DONEGAL COUNTY COUNCIL,2000,"2,539,476.00"
Donegal,Donegal Football League,2000,"25,395.00"
Donegal,Donegal Town Soccer Club Trust Company Ltd,2000,"12,697.00"
Donegal,Drimarone Dev Association,2000,"63,487.00"
Donegal,Dunfanaghy Golf Club,2000,"126,974.00"
Donegal,Four Masters GAA Club,2000,"190,461.00"
Donegal,Glengad Community Association,2000,"63,487.00"
Donegal,Greencastle Com. Dev. Co. Ltd,2000,"76,184.00"
Donegal,Greencastle Sports and Leisure,2000,"31,743.00"
Donegal,Inver Community Development Co-op/ Eany Celtic,2000,"50,790.00"
Donegal,Irish Indoor Bowling Assoc Donegal Zone,2000,"8,888.00"
Donegal,Kildrum Tigers Football Club,2000,"101,579.00"
Donegal,Kilmacrennan Community Development Group,2000,"50,790.00"
Donegal,Letterkenny Tennis Club,2000,"63,487.00"
Donegal,Lifford Athletic Club Ltd,2000,"31,743.00"
Donegal,Loreto Community School Milford,2000,"31,743.00"
Donegal,Manorcunningham Development Association,2000,"190,461.00"
Donegal,Naomh Conaill GAA Club,2000,"126,974.00"
Donegal,NAOMH ULTAN C L G,2000,"114,276.00"
Donegal,Narin Portnoo Rosbeg Co-operative Society Ltd,2000,"25,395.00"
Donegal,Ramelton Community Centre,2000,"6,349.00"
Donegal,Ray Youth Athletic Club,2000,"19,046.00"
Donegal,St Eunans College Letterkenny,2000,"25,395.00"
Donegal,St Patricks GAA Club Malin,2000,"126,974.00"
Donegal,Swilly Mulroy Community Development,2000,"95,230.00"
Donegal,Swilly Rovers FC,2000,"95,230.00"
Donegal,The Royal and Prior Comprehensive School,2000,"95,230.00"
Donegal,Twin Towns Boxing Club,2000,"3,809.00"
Dublin,103rd Dublin Scouting Ireland C.S.I.,2000,"63,487.00"
Dublin,140th/160th Beaumont-Ardlea Unit C.S.I.,2000,"25,395.00"
Dublin,158th Castleview Scouting Ireland C.S.I.,2000,"76,184.00"
Dublin,177 Scout Unit Scouting Ireland C.S.I.,2000,"12,697.00"
Dublin,78th Dublin St. Killian's Unit Scouting Ireland,2000,"101,579.00"
Dublin,Arbour Hill Boxing Club,2000,"3,174.00"
Dublin,Ashtown Villa F.C.,2000,"13,967.00"
Dublin,Athletic Association of Ireland Ltd,2000,"888,817.00"
Dublin,Baldoyle Boxing Club,2000,"1,270.00"
Dublin,Ballybough Athletic Club,2000,"13,967.00"
Dublin,Ballyroan Indoor Bowls Club,2000,889
Dublin,Bay City Amateur Boxing Club,2000,"1,270.00"
Dublin,Beech Hill United Football Club,2000,"2,539.00"
Dublin,Bluebell United AFC,2000,"190,461.00"
Dublin,Bohemian Football Club LTD,2000,"190,461.00"
Dublin,Broadford Rovers F.C.,2000,"76,184.00"
Dublin,C.I.E. Amateur Boxing Club,2000,"1,905.00"
Dublin,Cabra Boxing Club,2000,"5,079.00"
Dublin,Citywise Centre Jobstown,2000,"11,428.00"
Dublin,Civil Service Cricket Club,2000,"26,665.00"
Dublin,Clan na Gael Fontenoy G.A.C.,2000,"126,974.00"
Dublin,Clondalkin Rugby Football Club ltd,2000,"43,171.00"
Dublin,Clondalkin Youth Band,2000,"12,697.00"
Dublin,Coiste Atha Cliath C.L.G.,2000,"126,974.00"
Dublin,Commercials Hurling Club,2000,"76,184.00"
Dublin,Corduff Sports Training and Leisure Club,2000,"380,921.00"
Dublin,Crumlin Boxing Club,2000,"38,092.00"
Dublin,Crumlin Community Youth Band,2000,"12,697.00"
Dublin,Crusaders Athletic Club (In Conjunction With Rise),2000,"634,869.00"
Dublin,Dalkey Judo Club,2000,"5,079.00"
Dublin,Dalkey United Youth and Sports Club,2000,"31,743.00"
Dublin,De La Salle Palmerston Football Club,2000,"31,743.00"
Dublin,Dublin City Council,2000,"253,948.00"
Dublin,Dublin City Services Sports and Social Club,2000,"114,276.00"
Dublin,Edenmore Boxing Club,2000,"2,539.00"
Dublin,Erins Isle Pitch and Putt Club,2000,"25,395.00"
Dublin,Faughs GAA,2000,"76,184.00"
Dublin,Fettercairn Youth Horse Project Ltd,2000,"2,539.00"
Dublin,Fingal County Council,2000,"5,205,926.00"
Dublin,Finglas Youth Resource Centre Consortium,2000,"228,553.00"
Dublin,Garda Pitch and Putt Club,2000,"7,618.00"
Dublin,Glasnevin Lawn Tennis Club,2000,"38,092.00"
Dublin,Glenanne Trust Corp,2000,"82,533.00"
Dublin,glin amateur boxing club,2000,"1,905.00"
Dublin,GOLDEN COBRA BOXING CLUB,2000,"2,539.00"
Dublin,Herberton Youth Development Group,2000,"50,790.00"
Dublin,Ierne Sports & Social Club,2000,"114,276.00"
Dublin,Killester Sports & Social Club,2000,"31,743.00"
Dublin,Killinarden Community Council Youth Project Ltd,2000,"44,441.00"
Dublin,Kinvara Ards FC,2000,"63,487.00"
Dublin,Larch Hill National Campsite C.S.I.,2000,"38,092.00"
Dublin,Leicester Celtic AFC,2000,"88,882.00"
Dublin,Liffey Gaels GAA Club,2000,"101,579.00"
Dublin,Lucan Sarsfields GAA Club,2000,"380,921.00"
Dublin,Lucan Sports Association,2000,"190,461.00"
Dublin,Marino Residents Association,2000,"88,882.00"
Dublin,Meadowvale Tennis Club,2000,"66,026.00"
Dublin,Mount Merrion Youths FC,2000,"31,743.00"
Dublin,Naomh Barrog GAA Club,2000,"76,184.00"
Dublin,Naomh Maighreide,2000,"95,230.00"
Dublin,Neptune Rowing Club,2000,"126,974.00"
Dublin,North Dublin Schoolboys and Girls League,2000,"203,158.00"
Dublin,Oblate Fathers,2000,"356,949.00"
Dublin,Ozanam House Community Resource Centre,2000,"203,158.00"
Dublin,Pimlico Youth Group,2000,"126,974.00"
Dublin,Portmarnock Amateur Boxing Club,2000,"1,270.00"
Dublin,Raheny United F C,2000,"88,882.00"
Dublin,"Round Tower GAA Club, Clondalkin",2000,"126,974.00"
Dublin,School Street and Thomas Court Bawn Youth Services,2000,"5,079.00"
Dublin,"Scouting Ireland Ltd.,",2000,"63,486.00"
Dublin,Shankill Tennis Club,2000,"13,967.00"
Dublin,Shelbourne FC,2000,"237,500.00"
Dublin,South Dublin County Council,2000,"634,869.00"
Dublin,South Dublin Urban Initiative Ltd Jobstown,2000,"152,369.00"
Dublin,South Dublin Urban Initiative Quarryvale,2000,"228,553.00"
Dublin,St Bernards Youth Club Cabra,2000,"50,790.00"
Dublin,St Colmcille's Gaelic Athletic Club,2000,"152,369.00"
Dublin,St Columban's Boys Football Club,2000,"63,487.00"
Dublin,St John of God Hospital,2000,"31,743.00"
Dublin,St Kevins boys club,2000,"76,184.00"
Dublin,St Kevin's Unit Harrington St C.S.I.,2000,"6,349.00"
Dublin,St Marks GAA Club,2000,"126,974.00"
Dublin,St Mochtas FC Limited,2000,"355,527.00"
Dublin,St Olafs GAA Club,2000,"114,276.00"
Dublin,St Oliver Plunkett Eoghan Ruadh GAA,2000,"253,948.00"
Dublin,St Saviours Boxing Club,2000,"2,539.00"
Dublin,St Vincents GAA,2000,"253,948.00"
Dublin,St Vincent's Judo Club,2000,"5,079.00"
Dublin,St Vincent's Special School Navan Road,2000,"1,270.00"
Dublin,Stars of Erin Gaelic Sports Club,2000,"38,092.00"
Dublin,Stella Maris Football Club,2000,"355,527.00"
Dublin,Tallaght Youth Band,2000,"12,697.00"
Dublin,The Irish Traditional Youth Band,2000,"10,158.00"
Dublin,The Wild Water Kayak Club,2000,"50,790.00"
Dublin,Trackside Lawn Tennis Club,2000,"3,809.00"
Dublin,Valeview Shankill F.C. and Rathmichael Shankill F.C.,2000,"76,184.00"
Dublin,Verona A F C,2000,"76,184.00"
Dublin,West Dublin Athletic Club,2000,"12,697.00"
Dublin,West Finglas Boxing Club,2000,"3,174.00"
Dublin,Willington Community Holdings Ltd.,2000,"76,184.00"
Galway,Ahascragh Fohenagh GAA,2000,"12,697.00"
Galway,Athenry Association Football Club,2000,"95,230.00"
Galway,Beagh Hurling & GAA Club,2000,"31,743.00"
Galway,Colaiste Iognaid Rowing Club,2000,"126,974.00"
Galway,Colemanstown Utd FC,2000,"38,092.00"
Galway,Connemara Rugby Club Company Limited,2000,"44,441.00"
Galway,Creggs GAA Club,2000,"12,697.00"
Galway,Father Griffins Éire Óg,2000,"44,441.00"
Galway,Galway Judo Club,2000,"25,395.00"
Galway,Galway Karate Club,2000,"25,395.00"
Galway,Glinsk GAA Club,2000,"19,046.00"
Galway,Gort Community Council Limited,2000,"38,092.00"
Galway,Gort GAA Club,2000,"63,487.00"
Galway,Killannin Community Centre,2000,"76,184.00"
